source_text,target_text
"The patient has hypertension and should reduce sodium intake.","You have high blood pressure. Eating less salt may help. Ask your care team what daily salt limit is right for you."
"Your hemoglobin A1c is elevated, consistent with suboptimal glycemic control.","Your average blood sugar has been higher than the goal range. Talk with your care team about your diabetes plan."
"Take this medication BID with meals and monitor for adverse gastrointestinal effects.","Take this medicine twice a day with food. Call your care team if you have stomach pain, nausea, vomiting, or diarrhea."
"The imaging study shows no acute cardiopulmonary abnormality.","Your scan does not show a new serious problem with your heart or lungs."
"Use the inhaler PRN for dyspnea or wheezing.","Use the inhaler when needed for shortness of breath or wheezing. Ask your care team how often it is safe to use."
"The lesion appears benign, but interval follow-up is recommended.","The spot does not look cancerous right now. Your care team recommends checking it again later."
"Renal function is mildly decreased compared with prior labs.","Your kidney test is a little lower than before. Ask your care team what this means for you."
"The patient denies chest pain but reports intermittent palpitations.","You said you do not have chest pain, but you sometimes feel your heart beating fast or irregularly."
"Continue analgesic therapy as tolerated.","Keep taking your pain medicine if it is helping and not causing problems. Contact your care team if side effects occur."
"There is trace peripheral edema bilaterally.","There is a small amount of swelling in both legs or feet."
"The etiology of symptoms remains unclear after initial workup.","The cause of your symptoms is still not clear after the first tests."
"Discontinue the medication if rash, facial swelling, or respiratory symptoms occur.","Stop taking the medicine and get medical help if you develop a rash, face swelling, or trouble breathing."
"The electrocardiogram shows sinus tachycardia without ischemic changes.","Your heart rhythm test shows a fast regular heartbeat. It does not show signs of reduced blood flow to the heart."
"The patient should follow up in clinic for medication reconciliation.","Please schedule a clinic visit so your care team can review all of your medicines."
"No contraindication to vaccination was identified today.","Based on today's review, there was no clear medical reason found that would prevent vaccination."
"The patient has mild dehydration and was encouraged to increase oral fluids.","You are a little dehydrated. Drinking more fluids may help unless your care team has told you to limit fluids."
"The biopsy demonstrated inflammatory changes without evidence of malignancy.","The tissue sample showed inflammation. It did not show cancer."
"The patient was counseled on lifestyle modification for cardiovascular risk reduction.","Your care team discussed healthy habits that may lower your chance of heart disease."
"Avoid NSAIDs due to history of gastric ulcer.","Avoid medicines like ibuprofen or naproxen because you have had a stomach ulcer."
"The culture was negative, making bacterial infection less likely.","The test did not grow bacteria, so a bacterial infection is less likely."
