source_text,reference_rewrite,base_model_output,fine_tuned_output,app_output,adapter_active,source_word_count,source_avg_sentence_length,source_jargon_count,source_flesch,base_word_count,base_avg_sentence_length,base_jargon_count,base_flesch,fine_tuned_word_count,fine_tuned_avg_sentence_length,fine_tuned_jargon_count,fine_tuned_flesch,app_word_count,app_avg_sentence_length,app_jargon_count,app_flesch
56-year-old male presents with acute onset substernal chest pain radiating to the left arm. ECG demonstrates ST-segment elevation in the inferior leads. Troponin I markedly elevated. Assessment consistent with STEMI. Cardiology consulted for emergent PCI.,The patient likely has a heart attack and needs an emergency procedure to open the blocked artery.,A 56-year-old male presents with acute onset substernal chest pain radiating to the left arm. ECG demonstrates ST-segment elevation in the inferior leads. Troponin I markedly elevated. Assessment consistent with STEMI. Cardiology consulted for emergent PCI.,The patient likely has a heart attack and needs an emergency procedure to open the blocked artery.,The patient likely has a heart attack and needs an emergency procedure to open the blocked artery.,True,37,7.4,5,34.7,38,7.6,5,36.6,17,17.0,0,40.3,17,17.0,0,40.3
"Patient denies fever, chills, nausea, vomiting, or diarrhea. Physical exam notable for bilateral lower extremity pitting edema and bibasilar crackles. Findings concerning for acute decompensated CHF.","The patient does not report infection or stomach symptoms, but has leg swelling and lung sounds that may mean worsening congestive heart failure.","A patient denies fever, chills, nausea, vomiting, or diarrhea. Physical exam notable for bilateral lower extremity pitting edema and bibasilar crackles. Findings concerning for acute decompensated CHF.","The patient does not report infection or stomach symptoms, but has leg swelling and lung sounds that may mean worsening congestive heart failure.","The patient does not report infection or stomach symptoms, but has leg swelling and lung sounds that may mean worsening congestive heart failure.",True,26,8.7,4,6.1,27,9.0,4,9.7,23,23.0,1,54.8,23,23.0,1,54.8
MRI reveals full-thickness ACL tear with associated medial meniscus injury. Recommend arthroscopic ACL reconstruction following resolution of acute inflammation.,The knee MRI shows a complete ACL tear and an injury to the inner knee cartilage. Surgery is recommended after the swelling and irritation calm down.,MRI reveals full-thickness ACL tear with associated medial meniscus injury. Recommend arthroscopic ACL reconstruction following resolution of acute inflammation.,The knee MRI shows a complete ACL tear and an injury to the inner knee cartilage. Surgery is recommended after the swelling and irritation calm down.,The knee MRI shows a complete ACL tear and an injury to the inner knee cartilage. Surgery is recommended after the swelling and irritation calm down.,True,20,10.0,5,-2.1,20,10.0,5,-2.1,26,13.0,2,57.0,26,13.0,2,57.0
Patient presents with dysarthria and right-sided hemiparesis. Non-contrast CT negative for intracranial hemorrhage. Symptoms highly suspicious for acute ischemic CVA.,"The patient has slurred speech and weakness on the right side. The scan does not show bleeding in the brain, so the symptoms are concerning for a stroke caused by blocked blood flow.",Patient presents with dysarthria and right-sided hemiparesis. Non-contrast CT negative for intracranial hemorrhage. Symptoms highly suspicious for acute ischemic CVA.,"The patient has slurred speech and weakness on the right side. The scan does not show bleeding in the brain, so the symptoms are concerning for a stroke caused by blocked blood flow.","The patient has slurred speech and weakness on the right side. The scan does not show bleeding in the brain, so the symptoms are concerning for a stroke caused by blocked blood flow.",True,22,7.3,5,22.5,22,7.3,5,22.5,33,16.5,0,82.4,33,16.5,0,82.4
Assessment: Persistent atrial fibrillation with rapid ventricular response. CHA2DS2-VASc score of 4. Continue apixaban for anticoagulation and initiate metoprolol for rate control.,The patient has ongoing irregular heartbeat with a fast heart rate. The plan is to continue a blood thinner to lower stroke risk and start medicine to slow the heart rate.,Assessment: Persistent atrial fibrillation with rapid ventricular response. CHA2DS2-VASc score of 4. Continue apixaban for anticoagulation and initiate metoprolol for rate control.,The patient has ongoing irregular heartbeat with a fast heart rate. The plan is to continue a blood thinner to lower stroke risk and start medicine to slow the heart rate.,The patient has ongoing irregular heartbeat with a fast heart rate. The plan is to continue a blood thinner to lower stroke risk and start medicine to slow the heart rate.,True,23,7.7,5,11.5,23,7.7,5,11.5,31,15.5,0,76.5,31,15.5,0,76.5
CT chest demonstrates multifocal ground-glass opacities bilaterally without pleural effusion. Differential includes atypical pneumonia versus organizing pneumonitis.,"The chest CT shows hazy spots in both lungs, but no extra fluid around the lungs. Possible causes include an unusual pneumonia or inflammation in the lung tissue.",CT chest demonstrates multifocal ground-glass opacities bilaterally without pleural effusion. Differential includes atypical pneumonia versus organizing pneumonitis.,"The chest CT shows hazy spots in both lungs, but no extra fluid around the lungs. Possible causes include an unusual pneumonia or inflammation in the lung tissue.","The chest CT shows hazy spots in both lungs, but no extra fluid around the lungs. Possible causes include an unusual pneumonia or inflammation in the lung tissue.",True,18,9.0,5,-46.7,18,9.0,5,-46.7,28,14.0,0,68.7,28,14.0,0,68.7
EGD demonstrated erosive gastritis without evidence of active upper GI bleeding. Biopsies obtained to evaluate for Helicobacter pylori.,"The upper endoscopy showed irritation and damage in the stomach lining, but no active bleeding. Small tissue samples were taken to check for H. pylori infection.",EGD demonstrated erosive gastritis without evidence of active upper GI bleeding. Biopsies obtained to evaluate for Helicobacter pylori.,"The upper endoscopy showed irritation and damage in the stomach lining, but no active bleeding. Small tissue samples were taken to check for H. pylori infection.","The upper endoscopy showed irritation and damage in the stomach lining, but no active bleeding. Small tissue samples were taken to check for H. pylori infection.",True,18,9.0,5,0.3,18,9.0,5,0.3,26,8.7,2,51.6,26,8.7,2,51.6
PET/CT demonstrates interval progression of metastatic disease with new hepatic lesions. Recommend initiation of second-line systemic chemotherapy pending molecular profiling.,"The scan shows the cancer has grown or spread, with new spots in the liver. The team recommends another chemotherapy treatment while waiting for tumor testing results.",PET/CT demonstrates interval progression of metastatic disease with new hepatic lesions. Recommend initiation of second-line systemic chemotherapy pending molecular profiling.,"The scan shows the cancer has grown or spread, with new spots in the liver. The team recommends another chemotherapy treatment while waiting for tumor testing results.","The scan shows the cancer has grown or spread, with new spots in the liver. The team recommends another chemotherapy treatment while waiting for tumor testing results.",True,22,11.0,6,-12.0,22,11.0,6,-12.0,27,13.5,0,61.5,27,13.5,0,61.5
Blood cultures positive for MRSA bacteremia. Transthoracic echocardiogram ordered to rule out infective endocarditis. Continue IV vancomycin.,The blood test shows MRSA bacteria in the bloodstream. The team ordered a heart ultrasound to check for infection on the heart valves and will continue IV antibiotics.,Blood cultures positive for MRSA bacteremia. Transthoracic echocardiogram ordered to rule out infective endocarditis. Continue IV vancomycin.,The blood test shows MRSA bacteria in the bloodstream. The team ordered a heart ultrasound to check for infection on the heart valves and will continue IV antibiotics.,The blood test shows MRSA bacteria in the bloodstream. The team ordered a heart ultrasound to check for infection on the heart valves and will continue IV antibiotics.,True,17,5.7,5,-12.9,17,5.7,5,-12.9,28,14.0,1,65.7,28,14.0,1,65.7
Patient remains intubated and mechanically ventilated. Hemodynamically stable on low-dose norepinephrine. Urine output adequate. Continue sedation wean and spontaneous breathing trial tomorrow morning.,"The patient still has a breathing tube and breathing machine. Blood pressure is stable with a small amount of support medicine, urine output is okay, and the team plans to reduce sedation and test breathing without full machine support tomorrow.",Patient remains intubated and mechanically ventilated. Hemodynamically stable on low-dose norepinephrine. Urine output adequate. Continue sedation wean and spontaneous breathing trial tomorrow morning.,"The patient still has a breathing tube and breathing machine. Blood pressure is stable with a small amount of support medicine, urine output is okay, and the team plans to reduce sedation and test breathing without full machine support tomorrow.","The patient still has a breathing tube and breathing machine. Blood pressure is stable with a small amount of support medicine, urine output is okay, and the team plans to reduce sedation and test breathing without full machine support tomorrow.",True,24,6.0,6,-7.2,24,6.0,6,-7.2,40,20.0,0,57.5,40,20.0,0,57.5
